scenario,mode,controller,metric,mean,std
dp,CDW,mpc,n_fail,0.0000,0.0000
dp,CDW,dobmpc,radial_rms,0.4699,0.0000
dp,CDW,dobmpc,radial_max,11.1803,0.0000
dp,CDW,dobmpc,dc_ex,-0.1354,0.0000
dp,CDW,dobmpc,dc_ey,-0.0671,0.0000
dp,CDW,dobmpc,std_x,0.4422,0.0000
dp,CDW,dobmpc,std_y,0.0500,0.0000
dp,CDW,dobmpc,depth_std,0.1115,0.0000
dp,CDW,dobmpc,pitch_mean,8.2676,0.0000
dp,CDW,dobmpc,pitch_max,13.4863,0.0000
dp,CDW,dobmpc,IAE,12.2817,0.0000
dp,CDW,dobmpc,IAE_norm,0.4254,0.0000
dp,CDW,dobmpc,settling_time,0.8540,0.0000
dp,CDW,dobmpc,ss_error,0.4254,0.0000
dp,CDW,dobmpc,control_effort,26.6858,0.0000
dp,CDW,dobmpc,slew,39.8656,0.0000
dp,CDW,dobmpc,sat_freq,0.0000,0.0000
dp,CDW,dobmpc,band_dc,0.0000,0.0000
dp,CDW,dobmpc,band_wave,0.4392,0.0000
dp,CDW,dobmpc,band_high,0.0284,0.0000
dp,CDW,dobmpc,est_err_rms,0.0597,0.0000
dp,CDW,dobmpc,w_x,1.6145,0.0000
dp,CDW,dobmpc,w_y,-0.1067,0.0000
dp,CDW,dobmpc,n_fail,0.0000,0.0000
dp,CDW,mpc/dobmpc,DRR,6.8432,0
square,CW,pid,radial_rms,19.8591,0.0000
square,CW,pid,radial_max,39.6503,0.0000
square,CW,pid,dc_ex,1.9197,0.0000
square,CW,pid,dc_ey,5.1802,0.0000
square,CW,pid,std_x,16.9413,0.0000
square,CW,pid,std_y,8.7669,0.0000
square,CW,pid,depth_std,0.5926,0.0000
square,CW,pid,pitch_mean,-2.3038,0.0000
square,CW,pid,pitch_max,12.6506,0.0000
square,CW,pid,IAE,154.3629,0.0000
square,CW,pid,IAE_norm,18.3225,0.0000
square,CW,pid,settling_time,0.0000,0.0000
square,CW,pid,ss_error,18.3225,0.0000
square,CW,pid,control_effort,30.5608,0.0000
square,CW,pid,slew,20.2437,0.0000
square,CW,pid,sat_freq,0.0000,0.0000
square,CW,pid,band_dc,0.0000,0.0000
square,CW,pid,band_wave,12.8108,0.0000
square,CW,pid,band_high,7.0207,0.0000
square,CW,pid,est_err_rms,0.0000,0.0000
square,CW,pid,w_x,0.0000,0.0000
square,CW,pid,w_y,0.0000,0.0000
square,CW,pid,n_fail,0.0000,0.0000
square,CW,mpc,radial_rms,10.0214,0.0000
square,CW,mpc,radial_max,14.4927,0.0000
square,CW,mpc,dc_ex,-6.7010,0.0000
square,CW,mpc,dc_ey,-1.8497,0.0000
square,CW,mpc,std_x,4.4889,0.0000
square,CW,mpc,std_y,5.6526,0.0000
square,CW,mpc,depth_std,0.3684,0.0000
square,CW,mpc,pitch_mean,4.1045,0.0000
square,CW,mpc,pitch_max,16.7198,0.0000
square,CW,mpc,IAE,85.2643,0.0000
square,CW,mpc,IAE_norm,9.8829,0.0000
square,CW,mpc,settling_time,0.0000,0.0000
square,CW,mpc,ss_error,9.8829,0.0000
square,CW,mpc,control_effort,48.6021,0.0000
square,CW,mpc,slew,32.2635,0.0000
square,CW,mpc,sat_freq,0.0000,0.0000
square,CW,mpc,band_dc,0.0000,0.0000
square,CW,mpc,band_wave,3.4097,0.0000
square,CW,mpc,band_high,1.6129,0.0000
square,CW,mpc,est_err_rms,0.0000,0.0000
square,CW,mpc,w_x,0.0000,0.0000
square,CW,mpc,w_y,0.0000,0.0000
square,CW,mpc,n_fail,0.0000,0.0000
square,CW,dobmpc,radial_rms,11.1212,0.0000
square,CW,dobmpc,radial_max,12.6160,0.0000
square,CW,dobmpc,dc_ex,-9.1893,0.0000
square,CW,dobmpc,dc_ey,-2.6976,0.0000
square,CW,dobmpc,std_x,3.7445,0.0000
square,CW,dobmpc,std_y,4.2355,0.0000
square,CW,dobmpc,depth_std,0.2876,0.0000
square,CW,dobmpc,pitch_mean,4.1102,0.0000
square,CW,dobmpc,pitch_max,15.9471,0.0000
square,CW,dobmpc,IAE,86.0982,0.0000
square,CW,dobmpc,IAE_norm,11.0823,0.0000
square,CW,dobmpc,settling_time,0.0000,0.0000
square,CW,dobmpc,ss_error,11.0823,0.0000
square,CW,dobmpc,control_effort,45.5068,0.0000
square,CW,dobmpc,slew,33.8169,0.0000
square,CW,dobmpc,sat_freq,0.0000,0.0000
square,CW,dobmpc,band_dc,0.0000,0.0000
square,CW,dobmpc,band_wave,2.8094,0.0000
square,CW,dobmpc,band_high,1.2873,0.0000
square,CW,dobmpc,est_err_rms,0.0385,0.0000
square,CW,dobmpc,w_x,1.6524,0.0000
square,CW,dobmpc,w_y,-0.0494,0.0000
square,CW,dobmpc,n_fail,0.0000,0.0000
square,CW,mpc/dobmpc,DRR,0.9011,0
square,CDW,pid,radial_rms,19.7084,0.0000
square,CDW,pid,radial_max,39.1072,0.0000
square,CDW,pid,dc_ex,1.4190,0.0000
square,CDW,pid,dc_ey,5.1809,0.0000
square,CDW,pid,std_x,16.8133,0.0000
square,CDW,pid,std_y,8.7680,0.0000
square,CDW,pid,depth_std,0.5990,0.0000
square,CDW,pid,pitch_mean,-2.6304,0.0000
square,CDW,pid,pitch_max,12.7007,0.0000
square,CDW,pid,IAE,154.2551,0.0000
square,CDW,pid,IAE_norm,18.2140,0.0000
square,CDW,pid,settling_time,0.0000,0.0000
square,CDW,pid,ss_error,18.2140,0.0000
square,CDW,pid,control_effort,30.5799,0.0000
square,CDW,pid,slew,20.2424,0.0000
square,CDW,pid,sat_freq,0.0000,0.0000
square,CDW,pid,band_dc,0.0000,0.0000
square,CDW,pid,band_wave,12.7006,0.0000
square,CDW,pid,band_high,6.9760,0.0000
square,CDW,pid,est_err_rms,0.0000,0.0000
square,CDW,pid,w_x,0.0000,0.0000
square,CDW,pid,w_y,0.0000,0.0000
